12
aaaaaab aaaaabzaaaaaaaa
avavav av
malloc locmal
malloc locmalloc
gabriel zgabriela
davi ivad
gabriel wleirbagw
davi ehodavizao
vida davi
queijo qojieu
girafarig fariggira
